FF_NDB,rank,food_category_id,FF Food description,FF_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
11056,2000,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Maltose,G,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,4/1/2019
11056,100,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Water,G,93.52,92.29,94.21,0.077,16,93.6,93.0,94.2,93.5,12.0,4/1/2019
11056,5900,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Zinc, Zn",MG,0.19,0.14,0.27,0.007,16,0.19,0.14,0.27,0.19,12.0,4/1/2019
11056,1700,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Glucose,G,0.63,0.5,0.72,0.035,6,0.65,0.5,0.72,0.67,6.0,4/1/2019
11056,2100,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Galactose,G,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,4/1/2019
11056,5700,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Potassium, K",MG,96.0,76.0,114.0,3.748,12,97.0,76.0,114.0,96.0,12.0,4/1/2019
11056,1500,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Sugars, Total",G,1.44,1.16,1.61,0.072,6,1.29,0.0,0.0,0.0,0.0,4/1/2019
11056,5300,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Calcium, Ca",MG,37.0,26.0,44.0,1.247,16,36.0,26.0,42.0,36.0,12.0,4/1/2019
11056,6100,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Manganese, Mn",MG,0.175,0.086,0.3,0.018,16,0.176,0.137,0.223,0.18,12.0,4/1/2019
11056,800,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Total lipid (fat),G,0.41,0.3,0.6,0.016,16,0.39,0.3,0.47,0.38,12.0,4/1/2019
11056,600,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Protein,G,1.05,0.81,1.37,0.025,16,1.04,0.81,1.25,1.06,0.0,4/1/2019
11056,5600,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Phosphorus, P",MG,22.0,16.0,27.0,0.506,16,23.0,18.0,27.0,23.0,12.0,4/1/2019
11056,6000,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Copper, Cu",MG,0.039,0.027,0.058,0.002,16,0.041,0.027,0.058,0.041,12.0,4/1/2019
11056,5400,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Iron, Fe",MG,0.89,0.35,2.02,0.131,16,0.78,0.35,1.5,0.61,12.0,4/1/2019
11056,1800,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Fructose,G,0.62,0.48,0.72,0.037,6,0.64,0.48,0.72,0.67,6.0,4/1/2019
11056,1000,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Ash,G,0.83,0.23,1.05,0.06,16,0.89,0.71,1.05,0.92,12.0,4/1/2019
11056,1600,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Sucrose,G,0.18,0.18,0.18,0.0,6,0.0,0.0,0.0,0.0,6.0,4/1/2019
11056,1900,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids",Lactose,G,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,4/1/2019
11056,5500,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Magnesium, Mg",MG,13.0,11.0,14.0,0.18,16,12.7,10.7,14.3,12.5,12.0,4/1/2019
11056,5800,Vegetables and Vegetable Products,"Beans, snap, green, canned, regular pack, drained solids","Sodium, Na",MG,268.0,183.0,328.0,11.535,12,282.0,183.0,328.0,305.0,12.0,4/1/2019
12563,6300,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Vitamin C, total ascorbic acid",MG,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2.0,4/1/2019
12563,6400,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Thiamin,MG,0.077,0.05,0.12,0.009,13,0.079,0.06,0.11,0.08,8.0,4/1/2019
12563,6800,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Vitamin B-6,MG,0.136,0.096,0.23,0.009,9,0.075,0.06,0.08,0.08,8.0,4/1/2019
12563,5900,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Zinc, Zn",MG,3.31,2.52,3.75,0.094,19,2.8,2.66,3.04,2.75,13.0,4/1/2019
12563,1900,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Lactose,G,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,3.0,4/1/2019
12563,8200,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Tocopherol, delta",MG,0.09,0.0,0.37,0.034,23,0.0,0.0,0.0,0.0,8.0,4/1/2019
12563,6200,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Selenium, Se",UG,2.0,0.0,3.7,0.86,5,0.0,0.0,0.0,0.0,1.0,4/1/2019
12563,1800,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Fructose,G,0.01,0.0,0.1,0.003,22,0.0,0.0,0.0,0.0,3.0,4/1/2019
12563,6900,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Folate, total",UG,55.0,27.0,127.0,12.748,12,35.0,29.0,44.0,34.0,8.0,4/1/2019
12563,6700,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Pantothenic acid,MG,0.321,0.2,0.64,0.059,16,0.237,0.19,0.29,0.23,3.0,4/1/2019
12563,6600,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Niacin,MG,3.637,1.41,4.69,0.2,17,3.1,2.65,3.65,3.0,8.0,4/1/2019
12563,6100,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Manganese, Mn",MG,2.232,1.34,2.7,0.184,21,2.02,1.67,2.29,2.07,13.0,4/1/2019
12563,1200,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added","Fiber, total dietary",G,10.9,7.8,13.1,0.414,20,11.0,10.6,11.5,10.9,8.0,4/1/2019
12563,1700,Nut and Seed Products,"Nuts, almonds, dry roasted, with salt added",Glucose,G,0.01,0.0,0.04,0.012,22,0.0,0.0,0.0,0.0,3.0,4/1/2019
